X (waste),Y (impact),n,r,p,R2,b,a,k_backtransform
Platinum,Human Health,1582,0.8755828002999889,0.0,0.7666452401811701,0.7895022632872732,-0.9474332230844358,0.11286694678737304
Platinum,Natural Resources,1584,0.8176538178123978,0.0,0.6685577657831901,0.7627499811193359,3.5247682564152947,3347.8674615679533
Phosphate Rock,Ecosystem Quality,1584,0.712998047439181,3.447585779941767e-246,0.5083662156520847,0.48638433864180425,-4.949155461951454,1.1242024774977287e-05
Phosphate Rock,Human Health,1582,0.6623224856882675,2.306141216045091e-200,0.4386710750482852,0.5088011256477454,-2.328065978815969,0.004698227268508828
Phosphate Rock,Natural Resources,1584,0.5354740290233109,3.1300992546276877e-118,0.2867324357584575,0.4255278214022808,2.214111226178504,163.72357764937874
Petroleum,Ecosystem Quality,1584,0.8518760890211918,0.0,0.7256928710460417,0.8468658129939716,-6.729291192599397,1.865128710640739e-07
Petroleum,Human Health,1582,0.8795712543419087,0.0,0.7736455914645984,0.9847004985020809,-4.4195886354425,3.8054968304350905e-05
Petroleum,Natural Resources,1584,0.8529582223386017,0.0,0.7275377290550277,0.9877891215246845,0.08611788375550589,1.219320523176145
Palladium,Ecosystem Quality,1584,0.758259028220065,3.257210487050148e-296,0.5749567538772373,0.5256198731466623,-1.7022564628108965,0.019849224200297444
Palladium,Human Health,1582,0.8067607468930538,0.0,0.6508629027274382,0.6297973642955126,1.5345547627247642,34.24165622062099
