;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources;log parameters;emptied;parameters full
3a2ce46223f8bc9ae688d157d5ce9264;GLO;SSP5-Base-2020;3a2ce46223f8bc9ae688d157d5ce9264;market for lorry with refrigeration machine, R134a as refrigerant, 16 metric ton;lorry with refrigeration machine, R134a as refrigerant, 16 metric ton;unit;20251.679714592945;154.44488410375502;183.1404018073472;0.0006046296054009554;0.00015704755262996913;0.13056553348174751;3108.6432292922054;;;
d7b541bc86ff085ef8885572608fa059;GLO;SSP5-Base-2020;d7b541bc86ff085ef8885572608fa059;market for palm kernel meal;palm kernel meal;kilogram;0.0829723944798567;0.0019116934285969725;0.00014870675129982793;6.155995202015567e-10;4.7856991832369705e-09;9.788801564394941e-07;0.003822894795138111;;;
a34f57fd2a52e6626cf5db9c6118f877;GLO;SSP5-Base-2020;a34f57fd2a52e6626cf5db9c6118f877;market for barge;barge;unit;468387.42211385607;3805.647765100944;1027.5765182211644;0.015666866510001813;0.005287681109251296;4.7726563237230755;93031.0339014357;;;
dd96697cb956c24ce5c217c858c3d70b;GLO;SSP5-Base-2020;dd96697cb956c24ce5c217c858c3d70b;market for tea, dried;tea, dried;kilogram;4.550362436950391;0.0014834812087464225;0.003294136206309309;2.357099173575389e-08;6.001491575729222e-08;1.1554619880280262e-05;0.07904271342721698;;;
b58e366aa745755d69e7aeb815267fbe;GLO;SSP5-Base-2020;b58e366aa745755d69e7aeb815267fbe;market for indium rich leaching residues, from zinc production stockpiling;indium rich leaching residues, from zinc production stockpiling;kilogram;0.0016362192438764;1.0226374481131853e-05;7.289451743373454e-05;2.4195111794178356e-10;2.423235639309781e-11;3.596837027609936e-08;0.00032932368651638494;;;
283a2ea82c95f298fdd79f029c043bd4;GLO;SSP5-Base-2020;283a2ea82c95f298fdd79f029c043bd4;market for anthranilic acid;anthranilic acid;kilogram;2.029883663200909;0.0025355998527039738;0.008805202372369295;7.158514654503e-08;2.7012759655065454e-08;1.1751166693790478e-05;0.7923275513174253;;;
0499fa4e688990715acdaa77ef6fc3d4;GLO;SSP5-Base-2020;0499fa4e688990715acdaa77ef6fc3d4;market for battery cell, Li-ion, LFP;battery cell, Li-ion, LFP;kilogram;10.888043180621104;0.04261927386428868;0.13400076172043004;2.5474325238605375e-07;8.641895679035048e-08;5.95129631073625e-05;2.1813441816402976;;;
3525581f14e97f49921c004e80e229b9;GLO;SSP5-Base-2020;3525581f14e97f49921c004e80e229b9;market for maize grain, feed, organic;maize grain, feed, organic;kilogram;0.29212961931368114;0.0003370677280489054;0.0007670189053778955;4.506902242251016e-09;1.8994049264390184e-08;2.668663208199085e-06;0.0266667689544052;;;
7a9ad0dc1de488dc4d86a96240c24e6f;GLO;SSP5-Base-2020;7a9ad0dc1de488dc4d86a96240c24e6f;market for aircraft, belly freight, very short haul;aircraft, belly freight, very short haul;unit;638037.8954781012;2731.9525325521454;33731.371794964434;0.04808818965239154;0.013473315154504348;6.778926743989486;1000016.7618105741;;;
ffad28343100f51e6ee1a5e87512b195;GLO;SSP5-Base-2020;ffad28343100f51e6ee1a5e87512b195;market for heat and power co-generation unit, 6400kW thermal, components for electricity only;heat and power co-generation unit, 6400kW thermal, components for electricity only;unit;8023.590731168755;69.58822855214214;28.722400730295966;0.0004838463292950846;0.00026387421887668857;0.1752645650002409;3295.660449542631;;;
