;activity type;database;location;name;reference product;unit;code;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);ecosystem quality;human health;natural resources
043b307c3e9f84641c9228b9770c5469;market activity;ecoinvent-3.9.1-cutoff;RoW;market for SOx retained, in hard coal flue gas desulfurisation;SOx retained, in hard coal flue gas desulfurisation;kilogram;043b307c3e9f84641c9228b9770c5469;11.641369681572504;0.01592739691861178;0.00044704801423282517;4.301972443527128e-09;6.007989946360005e-09;4.058877639899469e-06;0.023990558517956
fbbc45c575d6004d4ef2227855b434dd;market activity;ecoinvent-3.9.1-cutoff;GLO;market for light emitting diode;light emitting diode;kilogram;fbbc45c575d6004d4ef2227855b434dd;36.55470518740511;1.4694077477409788;0.5597263800760562;1.4645351049004932e-05;1.2405385036748577e-06;0.0007292428554572464;16.31467291030879
f1a65e37d64e0d15c6275f566334e6d2;market activity;ecoinvent-3.9.1-cutoff;RoW;market for aluminium scrap, new;aluminium scrap, new;kilogram;f1a65e37d64e0d15c6275f566334e6d2;0.11215220591246094;3.247274609337016e-05;8.788411384105482e-05;2.698082278713033e-10;2.0096577405278305e-10;9.085353395593739e-08;0.005050458158743482
da1a6c325d3d2ebf5fcfc9737f7f8c7d;market activity;ecoinvent-3.9.1-cutoff;GLO;market for sodium tetrahydridoborate;sodium tetrahydridoborate;kilogram;da1a6c325d3d2ebf5fcfc9737f7f8c7d;9.477519667230538;0.06218483057639963;0.025014052343028288;1.5951632771410446e-06;1.38747683459583e-07;8.126112502838571e-05;2.4872118695183048
62126c280b17c6d6a69b136eac3ce9c4;market activity;ecoinvent-3.9.1-cutoff;GLO;market for p-chlorophenol;p-chlorophenol;kilogram;62126c280b17c6d6a69b136eac3ce9c4;1.731575334594535;0.008277919822240014;0.009185900835652431;1.3934383518745788e-07;1.7489432519693555e-08;9.247508419258555e-06;0.6803894061677656
4d5473bbb237606275ad372ddedf037f;market activity;ecoinvent-3.9.1-cutoff;GLO;market for copper scrap, sorted, pressed;copper scrap, sorted, pressed;kilogram;4d5473bbb237606275ad372ddedf037f;0.11183390659369592;3.259223129661328e-05;8.81929081594302e-05;3.0219762005599697e-10;2.0047872234838323e-10;9.052638362161993e-08;0.005051843466642667
28fedd03b831e909660b2c383af429aa;market activity;ecoinvent-3.9.1-cutoff;GLO;market for lanthanum oxide;lanthanum oxide;kilogram;28fedd03b831e909660b2c383af429aa;22.91497567524908;2.1701161215552913;3.2575813793366857;0.0002001128273416043;3.152575934539795e-07;0.00015139969203966684;1048.1100866681102
c139c526310e5a5c48e9d9d86e3b6d2c;market activity;ecoinvent-3.9.1-cutoff;GLO;market for metaldehyde;metaldehyde;kilogram;c139c526310e5a5c48e9d9d86e3b6d2c;1.0948038348787348;0.0010281459663348592;0.006684725957498907;6.47857191745476e-08;1.1377713171032779e-08;5.665378757375751e-06;0.4949128361531729
5bfcf5c41aafd5a0d8c2df1b65755d9c;market activity;ecoinvent-3.9.1-cutoff;RoW;market for lightweight concrete block, expanded vermiculite;lightweight concrete block, expanded vermiculite;kilogram;5bfcf5c41aafd5a0d8c2df1b65755d9c;0.21106860173624248;0.0007072804314239294;0.0007629036974600967;3.8521609389792365e-09;3.0473333654399e-09;1.5147996763322004e-06;0.04303106090762321
5ae51236a4cc00b58efb6b57041fb2bd;market activity;ecoinvent-3.9.1-cutoff;GLO;market for consumer electronics, mobile device, tablet;consumer electronics, mobile device, tablet;unit;5ae51236a4cc00b58efb6b57041fb2bd;27.477459132913552;2.003558635838317;0.45717538621517134;4.9674733799334536e-06;4.120750744105674e-07;0.00025058043890743815;5.431089481210696
c4a9cde0c480f45f4a5aad5b92902c59;market activity;ecoinvent-3.9.1-cutoff;GLO;market for packaging, for pesticides;packaging, for pesticides;kilogram;c4a9cde0c480f45f4a5aad5b92902c59;0.6609819261592895;0.0036097875337882095;0.0010051860908633762;8.15806761581876e-09;1.626771536684958e-09;8.176225876288059e-07;0.059829059341879764
696cad70162feb0eef148b4a807b168c;market activity;ecoinvent-3.9.1-cutoff;GLO;market for fuel cell, stack polymer electrolyte membrane, 2kW electrical, future;fuel cell, stack polymer electrolyte membrane, 2kW electrical, future;unit;696cad70162feb0eef148b4a807b168c;117.0913622604761;0.1717586629489144;0.1565431624817055;3.997891828107881e-06;2.1886818479160223e-06;0.0018353616598934448;14.39872791108793
c31a19ca95b1cad5376a5536bd9bfa9d;market activity;ecoinvent-3.9.1-cutoff;GLO;market for samarium-europium-gadolinium oxide;samarium-europium-gadolinium oxide;kilogram;c31a19ca95b1cad5376a5536bd9bfa9d;16.21515509848392;1.0169986216718703;4.066029534308116;3.7511227569676186e-07;1.7142443366529432e-07;0.00011017104289563716;4653.469888020742
8f7d47730da3b998355ae79a82610c7b;market activity;ecoinvent-3.9.1-cutoff;RoW;market for cork, raw;cork, raw;kilogram;8f7d47730da3b998355ae79a82610c7b;0.05219676503545562;0.0001685232816489063;0.0001234625073178887;1.5919814029360046e-10;4.208516650228684e-08;7.653598525894784e-08;0.0042777003356499425
189d143c6efd2310d7522b03abb89435;market activity;ecoinvent-3.9.1-cutoff;GLO;market for inert material landfill;inert material landfill;unit;189d143c6efd2310d7522b03abb89435;2069034.987098215;5275.324273740166;11761.050648823482;0.023393856190133434;0.012475581144663676;5.0281656781155935;778166.6224846655
